epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.688,3.27326,28.0776,0.94438,0,0,0,0,3.86409,34.0029,0.90588,0.000654971,0.000654971,0.000654971
2,297.006,3.2751,16.3398,0.93445,0.035,0.0396,0.00625,0.00147,3.56562,19.3653,0.89381,0.00127802,0.00127802,0.00127802
3,450.142,3.519,15.3324,0.9415,0.33181,0.14851,0.07764,0.01629,3.19346,14.7072,0.81282,0.00185708,0.00185708,0.00185708
4,665.997,3.27901,10.1174,0.94917,0.27163,0.09901,0.07699,0.01963,2.8663,11.4528,0.93599,0.001802,0.001802,0.001802
5,810.772,3.05018,8.43293,0.86981,0.61607,0.17822,0.18558,0.05749,3.12181,9.91594,0.91924,0.001736,0.001736,0.001736
6,968.301,3.06862,6.79534,0.90741,0.6556,0.28713,0.36385,0.11722,2.87275,7.98682,0.85857,0.00167,0.00167,0.00167
7,1136.19,3.0745,6.02197,0.92028,0.65186,0.31519,0.3721,0.10785,2.69751,6.00986,0.84058,0.001604,0.001604,0.001604
8,1328.61,3.02435,4.98096,0.89618,0.62513,0.36328,0.41843,0.13836,2.29473,4.71361,0.82821,0.001538,0.001538,0.001538
9,1502.28,3.01016,4.56463,0.90293,0.38269,0.36217,0.28062,0.06554,2.62067,4.88687,0.84208,0.001472,0.001472,0.001472
10,1678.28,2.95401,3.97357,0.88252,0.59463,0.40594,0.38042,0.10663,2.4744,3.50351,0.83064,0.001406,0.001406,0.001406
11,1839.71,2.924,3.39847,0.89022,0.38893,0.31683,0.20927,0.0638,2.67015,3.61631,0.83888,0.00134,0.00134,0.00134
12,1999.26,2.83278,3.47985,0.86678,0.62793,0.41776,0.42203,0.11476,2.7419,3.35773,0.83038,0.001274,0.001274,0.001274
13,2139.48,2.80468,2.79387,0.88182,0.75761,0.43329,0.47357,0.14602,2.54663,3.03705,0.84066,0.001208,0.001208,0.001208
14,2319.48,2.89092,2.89886,0.86728,0.70391,0.32673,0.36139,0.0991,2.46738,3.00591,0.83829,0.001142,0.001142,0.001142
15,2439.33,2.89372,2.96501,0.8832,0.62458,0.37624,0.37793,0.10846,2.65311,3.0029,0.80972,0.001076,0.001076,0.001076
16,2544.01,2.80946,2.50563,0.86783,0.43857,0.35644,0.30731,0.0988,2.43987,3.02039,0.81821,0.00101,0.00101,0.00101
17,2647.84,2.66027,2.38641,0.86479,0.73949,0.44971,0.51355,0.16076,2.66221,2.70837,0.80496,0.000944,0.000944,0.000944
18,2755.15,2.5797,2.2111,0.85766,0.6687,0.50495,0.52307,0.18179,2.19348,2.213,0.81271,0.000878,0.000878,0.000878
19,2856.74,2.50774,1.9918,0.86533,0.62102,0.49505,0.45617,0.1698,2.24206,2.12931,0.82013,0.000812,0.000812,0.000812
20,2961.6,2.65877,2.08016,0.86712,0.60166,0.48515,0.46651,0.16623,2.22941,2.22702,0.81515,0.000746,0.000746,0.000746
21,3065.46,2.44503,2.15308,0.84422,0.60455,0.43898,0.44547,0.14657,2.50693,2.25854,0.81041,0.00068,0.00068,0.00068
22,3172.09,2.35736,2.15798,0.84985,0.45921,0.45545,0.42655,0.14597,2.4036,2.18698,0.82181,0.000614,0.000614,0.000614
23,3285.39,2.33796,2.00576,0.83508,0.78699,0.53465,0.58364,0.21133,2.26184,1.92284,0.80839,0.000548,0.000548,0.000548
24,3407.15,2.41361,1.9511,0.87209,0.69771,0.49505,0.53848,0.18185,2.29887,1.93249,0.81517,0.000482,0.000482,0.000482
25,3519.73,2.26299,1.97048,0.83756,0.59089,0.48622,0.45577,0.16791,2.35746,2.03746,0.8146,0.000416,0.000416,0.000416
26,3627.3,2.29531,1.78698,0.85538,0.7049,0.52033,0.56656,0.21891,2.19423,1.88856,0.81346,0.00035,0.00035,0.00035
27,3744.38,2.24214,1.82727,0.83362,0.76035,0.54455,0.59896,0.2182,2.14742,1.77611,0.81155,0.000284,0.000284,0.000284
28,3851.93,2.2444,1.80498,0.84636,0.80207,0.56436,0.61947,0.22332,2.14941,1.75498,0.80883,0.000218,0.000218,0.000218
29,3960.67,2.22252,1.79921,0.85761,0.78878,0.51766,0.61229,0.23986,1.98182,1.7187,0.80651,0.000152,0.000152,0.000152
30,4076.7,2.0986,1.77496,0.84292,0.78343,0.51485,0.60843,0.23943,2.06058,1.74982,0.8062,8.6e-05,8.6e-05,8.6e-05
